[68fe0a1200000000040038a3|美食展示|ctr1=0.0924|imp=1125] [标题]时岁织锦 沁润芳华 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[69f0cecc0000000035033bd8|美食展示|ctr1=0.0992|imp=187398] [标题]出行必备 蒙古人民真会吃啊 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a8eb2230000000025010e0b|美食展示|ctr1=0.0744|imp=86783] [标题]几百年来中国酱菜的“爱马仕”：甪直萝卜 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[693f9ad0000000001e0319c8|美食展示|ctr1=0.1219|imp=90478] [标题]是的 上新的第十天又爆单啦！感谢🥹大家🙏 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a8814fb000000003100e7e0|美食展示|ctr1=0.0959|imp=229055] [标题]师傅说😂momo是谁啊？我一天接待10几个mo | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[682cb0e20000000023013cee|美食展示|ctr1=0.2050|imp=108897] [标题]找对地方买重庆特产真的能省好多钱！ | [封面美学]低 | [封面清晰度]中 | [封面质量]中
[6a82e6a4000000003400d8ce|美食展示|ctr1=0.0939|imp=203674] [标题]7月27还在法国，现在已经在你手里了 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a0b03430000000006033c88|美食展示|ctr1=0.0941|imp=313127] [标题]回一店测绵云鲜奶，升级版倒计时 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[68a7cb0d000000001b0348cb|美食展示|ctr1=0.0745|imp=260116] [标题]N次回购...踩雷无数才找到的家用咖啡豆‼ | [封面美学]低 | [封面清晰度]中 | [封面质量]中
[68bcf8f6000000001d0115f6|美食展示|ctr1=0.0941|imp=199944] [标题]感谢小红书让我们再次卖爆单了🙏🎆 | [封面美学]低 | [封面清晰度]中 | [封面质量]中
[6a732ee3000000002403c5c3|美食展示|ctr1=0.0864|imp=228365] [标题]终于知道为什么北欧人这么能活了 | [封面美学]中 | [封面清晰度]低 | [封面质量]中
[6a3c9ef3000000000f01c4be|美食展示|ctr1=0.0946|imp=198374] [标题]我妈说别每天扫地！不然怎么解释这一碗🧐 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[68bc308a000000001c0320bc|美食展示|ctr1=0.1949|imp=210115] [标题]💰801算大订单了吗？ | [封面美学]低 | [封面清晰度]中 | [封面质量]中
[6a3215520000000017028f61|美食展示|ctr1=0.1209|imp=272114] [标题]mini火锅底料依旧稳定发挥！！ | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a01dea7000000000702cb47|美食测评|ctr1=0.1150|imp=57951] [标题]在新西兰航空公务舱喝了6杯，回家怒买1箱😂 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[69da2ef5000000001a021df3|美食测评|ctr1=0.1240|imp=78359] [封面美学]中 | [封面清晰度]低 | [封面质量]中
[6a44cb7e000000000f01da91|美食测评|ctr1=0.0973|imp=77127] [标题]馋碳水别乱吃东西🙅吃点低碳高脂零食 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a0338ab000000003503184e|美食测评|ctr1=0.1421|imp=121046] [标题]雷司令+长相思+莫斯卡托｜138r打包，复购Top | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a55cb01000000000f005f77|美食测评|ctr1=0.0704|imp=211490] [标题]感恩！竟然被宋茜女士翻牌了~ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a41f9400000000021008792|美食测评|ctr1=0.0761|imp=96421] [标题]真 无糖茶饼｜打破无蔗糖文字套路 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a8540650000000033032fb2|美食测评|ctr1=0.0694|imp=128919] [标题]虽然.....但是Jennie的品味真的好高级！！ | [封面美学]低 | [封面清晰度]低 | [封面质量]中
[6a8029570000000028006985|美食测评|ctr1=0.0754|imp=194645] [标题]液体奶酪和Brie🧀千呼万唤终于到齐咯!!! | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a73f4980000000033018e8d|美食测评|ctr1=0.0694|imp=191644] [标题]每周都给孩子煮的鸡汤米线！6分钟get太省心 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[69e380c9000000001a024c81|美食测评|ctr1=0.0689|imp=154686] [标题]无糖版本生巧慕斯条来啦！ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[680c9107000000001c034229|美食测评|ctr1=0.0787|imp=163750] [标题]感谢小红书🙏咱家蛋卷卖3.1w+单了！🔥 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a696468000000000401ee1d|美食测评|ctr1=0.0841|imp=181117] [标题]本来是买给我妈的鸡汤米线，结果全家抢着吃 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a6af09c0000000005039efd|美食测评|ctr1=0.1065|imp=172226] [标题]斯坦福多次研究｜被严重忽视的开菲尔益生菌 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a85286a000000002403f32b|美食测评|ctr1=0.0798|imp=185766] [标题]本人TOP米线🍜跟着迪哥买真的闭眼入！！ | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a4e6d4c000000001700b9d0|美食测评|ctr1=0.1045|imp=194643] [标题]被催更的50克小包2.0版本全肥胸口油来喽～🥹 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a75802a00000000270211ec|美食测评|ctr1=0.0907|imp=239668] [标题]买家实拍❗不加滤镜的干拌螺蛳粉有多绝 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a3e2d0800000000210239d1|美食测评|ctr1=0.0679|imp=292907] [标题]完全是沧海遗珠的程度。。。 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[69a30a4e0000000015039eb4|美食测评|ctr1=0.1030|imp=308883] [标题]误入天家，新疆零食也太夯了 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a1945fe0000000035020c3a|养生食疗|ctr1=0.0888|imp=85312] [标题]梅雨➕三伏 | 全面湿热，喝加强版五指毛桃茶！ | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6909dd66000000000302d56e|养生食疗|ctr1=0.1063|imp=60875] [标题]宁夏农家干燥干净不熏硫磺枸杞 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a7843e30000000024025708|养生食疗|ctr1=0.0693|imp=67557] [标题]秋天依然保持好状态，真实不虚！ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a6432c5000000000f01d894|养生食疗|ctr1=0.0718|imp=79926] [标题]三伏天晒背30次，不如这碗汤喝7天🍄 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a6b633b0000000022033619|养生食疗|ctr1=0.0732|imp=226358] [标题]🌍刺梨这VC含量真的是地球上的水果吗？ | [封面美学]低 | [封面清晰度]中 | [封面质量]中
[69dca171000000002302508d|养生食疗|ctr1=0.0868|imp=193595] [标题]姐妹说：这个可以出师了吗？ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a5eec03000000000c0141dd|养生食疗|ctr1=0.0809|imp=218550] [标题]保持低皮质醇很重要，尤其女孩子 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a296505000000003501f3dd|养生食疗|ctr1=0.0682|imp=297301] [标题]梅伏湿热季，给你“湿胖”油腻老公备上这个茶 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[690223640000000007023c84|美食教程|ctr1=0.1168|imp=147411] [标题]感谢小红书‼️让我们家贵州蘸水卖了21万➕ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a1bef6a0000000007028e6d|美食教程|ctr1=0.1473|imp=182755] [标题]超模隔夜燕麦杯，满满抗性淀粉 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[69e1a6ae000000002202b019|美食教程|ctr1=0.1314|imp=202491] [标题]食欲抓狂的时候喝什么 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a7680050000000024025744|美食教程|ctr1=0.1331|imp=286960] [标题]低卡又饱腹的可可香蕉拿铁☕️管理期放心喝 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a7d4fea00000000060073cb|美食教程|ctr1=0.1208|imp=213431] [标题]难怪老的慢！高加索人每天都会发酵开菲尔 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a59f841000000000401e549|美食教程|ctr1=0.0917|imp=272833] [标题]葱油拌面的零失败做法！葱香油香不焦苦 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a86fc60000000003400f656|美食教程|ctr1=0.0757|imp=404898] [标题]门店用了4年的意式拼配豆就是糖罐啦 | [封面美学]中 | [封面清晰度]低 | [封面质量]中
[6a86bac3000000002702cabf|美食教程|ctr1=0.1093|imp=369439] [标题]听劝了！50斤大黄油放弃线切改用热切！！！ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[69a68377000000000e00e721|美食教程|ctr1=0.1424|imp=522884] [标题]救命蘸水！狠狠拿捏水煮菜🤏🤏🤏 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[68a2d036000000001d0386d4|美食教程|ctr1=0.1123|imp=579293] [标题]全家吃完都爱上了。。❗️软烂多汁太下饭 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6960b84b000000001a036382|美食教程|ctr1=0.1607|imp=1172726] [标题]两眼一睁就是减 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[69aee177000000001a02edea|美食教程|ctr1=0.1150|imp=1261087] [标题]水煮菜的尽头果然是清汤素菜锅🍲 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[69ec3cfa000000001a02ffe6|美食教程|ctr1=0.1059|imp=625609] [标题]犄角旮旯胡同的黏糊麻辣烫味道‼️ | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a3bb44f000000001702d38e|美食教程|ctr1=0.0771|imp=1232892] [标题]黑芝麻酒酿酸奶！好吃到原谅全世界！头发很爱 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a5325190000000021016e45|美食教程|ctr1=0.0861|imp=1285475] [标题]无意识补镁后，戒掉了贪糖带来的内耗 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a5df2dd000000001002499c|美食展示|ctr1=0.0827|imp=709109] [标题]TO:某个抄袭我们的同行，忍很久是时候回应了
[6a8bde930000000038002b8c|美食展示|ctr1=0.0819|imp=408940] [标题]太夯了！！！像生啃黄油的感觉… | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a4a4c43000000000f01f8a4|美食展示|ctr1=0.1231|imp=348348] [标题]和家人商量后，专为小孩👧做了一款面调料！ | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a61f69d000000000f02be57|美食展示|ctr1=0.1019|imp=333804] [标题]张荣记不止虾子面😋5种口味素食面条，来吃！ | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[695d27d1000000000c036855|美食展示|ctr1=0.1242|imp=323895] [标题]目前为止吃的最香的一次丫🥹 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6995db6f0000000015023da2|美食展示|ctr1=0.1482|imp=520454] [标题]惊叹于小红书姐妹的购买力………… | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[69ccf608000000001f005ab7|美食展示|ctr1=0.1625|imp=394843] [标题]药王孙思邈：世上只有芝麻好，可惜凡人生吃了 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a87ed27000000001b028006|美食展示|ctr1=0.0828|imp=732296] [标题]葡萄干需要洗吗？揭秘葡萄干晾晒的全过程 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a617af0000000001101a726|美食展示|ctr1=0.1356|imp=376422] [标题]同行们继续抄吧！老娘已经next level了2.0😏 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a55f24e0000000011014c57|美食展示|ctr1=0.0890|imp=683312] [标题]卖4年买4年啊🥹终于吃上了！！ | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a65c106000000000f033937|美食展示|ctr1=0.1396|imp=634713] [标题]结束了，12月再见 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a895dcd00000000350255ab|美食展示|ctr1=0.0779|imp=632926] [标题]这手艺绝了！！比去年还好吃～手工豆沙 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a54fa5b000000000803f628|美食展示|ctr1=0.1334|imp=829452] [标题]每天就馋西安细米线，不是细的不吃😭😭😭😭 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a7a86cc0000000026036858|美食展示|ctr1=0.1237|imp=680121] [标题]咸奶茶能冰镇？ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a817089000000002403d5de|美食展示|ctr1=0.0793|imp=1608692] [标题]已经这么多口味了 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a62c001000000001f01e0e1|美食测评|ctr1=0.0905|imp=376418] [标题]终于吃到不油、不腻、配料干净的春饼了！ | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a2a49410000000022024bda|美食测评|ctr1=0.0837|imp=497572] [标题]我女儿说从未吃过这么好吃的早餐🤣🤣 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a67235f000000000a03a9f6|美食测评|ctr1=0.1202|imp=727367] [标题]夯中之夯 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[69fe058a0000000022024080|美食测评|ctr1=0.0762|imp=454759] [标题]好像在嚼牛奶！明白我意思不 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[689999de000000002303bc92|美食测评|ctr1=0.0875|imp=364593] [标题]下次发工资我要在买它十包！！！ | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a6c65f90000000022016f42|美食测评|ctr1=0.0987|imp=319841] [标题]香港同事推荐的，真的巨好吃啊啊啊 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a127db70000000035021865|美食测评|ctr1=0.0845|imp=334052] [标题]加臭容易减臭难，不臭已经筛掉一半人了吧 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a7b46b5000000000503061e|美食测评|ctr1=0.0885|imp=647206] [标题]巧克力脑袋有福了！ | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a7d5cd80000000028003bdd|美食测评|ctr1=0.1161|imp=603819] [标题]夯中夯 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a81756d000000002403f3bd|美食测评|ctr1=0.0755|imp=1104198] [标题]对于干拌螺蛳粉的一些理解… | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a6808b0000000001101da3d|美食测评|ctr1=0.1168|imp=757739] [标题]夏日咸奶茶：冰镇的“盐系”新宠 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a40edf4000000001702cfa0|美食测评|ctr1=0.1351|imp=632587] [标题]吃迪拜软曲奇一定要选闪光少女家的 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a79979b000000000503037b|美食测评|ctr1=0.1299|imp=1565254] [标题]Vocal！阿尔卑斯酸嘢糖怎么全网消失了❓ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a55e986000000000803f3d6|美食测评|ctr1=0.1021|imp=2939955] [标题]夯中之夯 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a8d37c8000000002802c4cd|美食测评|ctr1=0.0862|imp=9992983] [标题]如果卖3r一个同行会不会骂我🥺 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a44df84000000002101a12b|养生食疗|ctr1=0.0656|imp=479254] [标题]泉州人藏了200年的养睥记忆，冷门但很养睥胃 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a02b873000000000603162d|养生食疗|ctr1=0.0584|imp=416037] [标题]九十岁外婆说，夏吃姜不是老土，是身体需要 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a7b151100000000050318e8|养生食疗|ctr1=0.0624|imp=420640] [标题]吃了两个月的黄体酮，闺蜜以为我化妆了😥 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a335bf90000000011014364|养生食疗|ctr1=0.1018|imp=619456] [标题]请大数据推给所有爱出油的姐妹！！ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a6c554900000000050305f3|养生食疗|ctr1=0.0856|imp=636581] [标题]出汗多的宝子，教你一个老办法！ | [封面美学]中 | [封面清晰度]低 | [封面质量]中
[687b7f470000000013013110|美食其他|ctr1=0.1855|imp=787] [标题]AllYouWant得奖🏆｜世界巧克力大赛饮品铜奖 | [封面美学]低 | [封面清晰度]中 | [封面质量]中
[67c404c20000000007037d88|美食其他|ctr1=0.1095|imp=1041] [标题]来一场易武古树熟茶的高端局～ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[69d37d6e000000001a024530|美食其他|ctr1=0.1366|imp=974] [标题]卖野蜂蜜17年，收获的最暖心又中肯的评价！ | [封面美学]低 | [封面清晰度]中 | [封面质量]中
[688c7b2400000000230371fd|养生食疗|ctr1=0.1626|imp=609] [标题]黑绷带级别·口粮印白👌🏻 63头大岛印白 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[68ee1abf0000000007020812|养生食疗|ctr1=0.1315|imp=578] [标题]你喝过真正的八珍粉吗❓ | [封面美学]中 | [封面清晰度]低 | [封面质量]中
[6a22a423000000002200ad34|养生食疗|ctr1=0.1163|imp=722] [标题]捡漏‼️北海价拿下湛江赤嘴公 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[66dc4cb200000000260336ad|养生食疗|ctr1=0.1418|imp=691] [标题]国检野山参，国检一等野山参 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6971ef720000000021029576|养生食疗|ctr1=0.1797|imp=818] [标题]自护力告急？冰冰同款小红条稳住状态🍒 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[67ce6838000000000302a427|养生食疗|ctr1=0.1284|imp=654] [标题]换季-喉咙不舒服？ 蜘蛛胶+川贝+陈皮👌🏻 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[69646e78000000000a03e5b0|养生食疗|ctr1=0.1148|imp=967] [标题]石斛养生不懂？看这一篇足以！ˇ | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[69e0eed20000000023025833|养生食疗|ctr1=0.1224|imp=523] [标题]品种优秀显而易见… | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[69610d41000000000e03d8b6|养生食疗|ctr1=0.1212|imp=726] [标题]💥小土鳘片绝了！是它~狂卖2000多单✨ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[68708c40000000002400f280|养生食疗|ctr1=0.1404|imp=990] [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6810c174000000002100426c|养生食疗|ctr1=0.1419|imp=1064] [标题]六个闺女老粮茶喝出易瘦体质！ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6982bfd7000000002200ae9e|养生食疗|ctr1=0.2459|imp=675] [标题]痰湿体质就别乱吃黄精了，后果严重！ | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[691dac58000000001e02fbb7|养生食疗|ctr1=0.1331|imp=691] [标题]经期摆烂不忌口？这沙棘籽油太顶了 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[68f8435a000000000302158c|养生食疗|ctr1=0.1271|imp=590] [标题]易敏体质反反复复？问题不在鼻，而在肺 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[67a2dbe40000000018012dcc|养生食疗|ctr1=0.1204|imp=656] [标题]肝气郁结+气血不足 请坚持一个月！ | [封面美学]中 | [封面清晰度]低 | [封面质量]低
[69ff14890000000036031bd3|美食测评|ctr1=0.1339|imp=1068] [标题]阿玛罗尼风干酒名家，百年托马斯大促325元 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a4c79ef0000000021021af3|美食测评|ctr1=0.0870|imp=805] [标题]2016年的牡丹王，还能这么干净真的少见‼️ | [封面美学]中 | [封面清晰度]低 | [封面质量]中
[69103ea500000000040113e7|美食测评|ctr1=0.1038|imp=501] [标题]双11买得最成功的口粮干白！会一直回购的4瓶 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a6ee5d00000000028032872|美食测评|ctr1=0.0970|imp=505] [标题]5次荣获澳洲最佳酒庄！！！趁还没涨价169尝鲜！ | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[69aa9744000000001b01c645|美食测评|ctr1=0.0917|imp=763] [标题]这三支酒的含金量，懂得都懂！ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a196ca90000000037034eb9|美食测评|ctr1=0.1042|imp=547] [标题]一支价买两支，618组合:蒲昌白羽VS茉莉花开 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[67c828c40000000007034286|美食测评|ctr1=0.0848|imp=755] [标题]🔥 专柜顶奢款，梅酒天花板‼️ | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[69872a4b000000001a023489|美食测评|ctr1=0.2394|imp=568] [标题]喝到全球最难抢的白葡萄酒之一 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6808b183000000000f0388ac|美食测评|ctr1=0.1221|imp=655] [标题]云南思茅龙潭蜜处理🍯一口坠入花果蜜境！ | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[674812500000000007032691|美食测评|ctr1=0.0842|imp=914] [标题]秒懂葡萄酒！5瓶入门宝藏，跟着喝就对了！ | [封面美学]中 | [封面清晰度]中 | [封面质量]高
